Number,CEID,Status ( >0 : Enable; <0 : Disable),Comment,
  105),1222,1,E30 : LP2_CSTID_READ_END,

  106),1226,1,E30 : LP2_SLOT_MAP_START,

  107),1227,1,E30 : LP2_SLOT_MAP_END,

  108),1228,1,E30 : LP2_FIRST_WAFER_FROM_FOUP,

  109),1229,1,E30 : LP2_LAST_WAFER_INTO_FOUP,

  110),1236,1,E30 : LP2_WAFER_FROM_FOUP,

  111),1237,1,E30 : LP2_WAFER_INTO_FOUP,

  112),1238,1,E30 : LP2_WAFER_MHP_REPORT,

  113),1241,1,E30 : LP2_WAFER_TRANSFER_START,

  114),1242,1,E30 : LP2_WAFER_TRANSFER_END,

  115),1246,1,E30 : LP2_WAFER_INTO_PMC,

  116),1247,1,E30 : LP2_WAFER_FROM_PMC,

  117),1251,1,E30 : LP2_WAFER_PROCESS_START,

  118),1252,1,E30 : LP2_WAFER_PROCESS_END,

  119),1253,1,E30 : LP2_WAFER_PROCESS_DATA_REPORT,

  120),1256,1,E30 : LP2_WAFER_STEP_START,

  121),1257,1,E30 : LP2_WAFER_STEP_END,

  122),1258,1,E30 : LP2_WAFER_STEP_DATA_REPORT,

  123),1261,1,E30 : LP2_WAFER_VISIT_HISTORY_REPORT,

  124),1262,1,E30 : LP2_LOT_DATA_REPORT,

  125),1271,1,E30 : LP2_LOAD_REQUEST,

  126),1272,1,E30 : LP2_LOAD_COMPLETE,

  127),1273,1,E30 : LP2_UNLOAD_REQUEST,

  128),1274,1,E30 : LP2_UNLOAD_COMPLETE,

  129),1276,1,E30 : LP2__ACCESS_MODE__AUTO,

  130),1277,1,E30 : LP2__ACCESS_MODE__MANUAL,

  131),1278,1,E30 : LP2__CARRIER_ID_STATUS__ID_NOT_READ,

  132),1279,1,E30 : LP2__CARRIER_ID_STATUS__ID_WAITING_FOR_HOST,

  133),1280,1,E30 : LP2__CARRIER_ID_STATUS__ID_VERIFICATION_OK,

  134),1281,1,E30 : LP2__CARRIER_ID_STATUS__ID_VERIFICATION_FAILED,

